Gammel,Ny,år
"Sandefjord, Andebu, Stokke",Sandefjord,3804,2017
"Larvik, Lardal",Larvik,3805,2018
"Hof, Holmestrand",Holmestrand,3802,2018
"Tjøme, Nøtterøy",Færder,3811,2018
"Rissa, Leksvik",Indre Fosen,5054,2020
"Moss, Rygge",Moss,3002,2020
"Askim, Eidsberg, Hobøl, Spydeberg , Trøgstad",Indre Østfold,3014,2020
"Aurskog-Høland, Rømskog", Aurskog-Høland,3026,2020
"Oppegård, Ski",Nordre Follo,3020,2020
"Skedsmo, Fet, Sørum",Lillestrøm,3030,2020
"Asker, Hurum, Røyken",Asker,3025,2020
"Drammen, Nedre Eiker, Svelvik",Drammen,3005,2020
"Sande, Holmestrand",Holmestrand,3802,2020
"Re, Tønsberg",Tønsberg,3803,2020
"Bø, Sauherad",Midt-Telemark,3817,2020
"Audnedal, Lyngdal",Lyngdal,4225,2020
"Kristiansand, Songdalen, Søgne",Kristiansand,4204,2020
"Lindesnes, Mandal, Marnardal",Lindesnes,4205,2020
"Finnøy, Rennesøy, Stavanger",Stavanger,1103,2020
"Forsand, Sandnes",Sandnes,1108,2020
"Fjell, Sund, Øygarden",Øygarden,4626,2020
"Radøy, Lindås, Meland",Alver,4631,2020
"Fusa, Os",Bjørnafjorden,4624,2020
"Jondal, Odda, Ullensvang",Ullensvang,4618,2020
"Granvin, Voss",Voss,4621,2020
"Førde, Naustdal, Gaular, Jølster",Sunnfjord,4647,2020
"Flora, Vågsøy",Kinn,4602,2020
"Eid, Selje",Stad,4649,2020
"Balestrand, Leikanger, Sogndal",Sogndal,4640,2020
"Hornindal, Volda",Volda,1577,2020
"Ålesund, Haram, Sandøy, Skodje, Ørskog",Ålesund,1507,2020
"Norddal, Stordal",Fjord,1578,2020
"Eide, Fræna",Hustadvika,1579,2020
"Midsund, Molde, Nesset",Molde,1506,2020
"Hemne, Halsa, Snillfjord",Heim,5055,2020
"Orkdal, Agdenes",Orkland,5059,2020
"Klæbu, Trondheim",Trondheim,5001,2020
"Bjugn, Ørland",Ørland,5057,2020
"Roan, Åfjord",Åfjord,5058,2020
"Steinkjer, Verran",Steinkjer,5006,2020
"Namdalseid, Namsos, Fosnes",Namsos,5007,2020
"Vikna, Nærøy",Nærøysund,5060,2020
"Narvik, Ballangen, Tysfjord",Narvik,1806,2020
"Hamarøy, Tysfjord",Hamarøy,1875,2020
"Skånland, Tjeldsund",Tjeldsund,5412,2020
"Berg, Lenvik, Torsken, Tranøy",Senja,5421,2020
"Hammerfest, Kvalsund",Hammerfest,5406,2020
