Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep
0101;0101;Kartverket;Utgått;29.11.2017;1;Halden;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0101/ba9a1e5c-cfbe-4e6f-8801-862b2f425581;
0102;0102;Kartverket;Utgått;29.11.2017;1;Sarpsborg;09.08.1839 00.00.00;01.01.1992 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0102/e5ae5a87-f436-43b5-a1cb-cedb6f5daeec;
0103;0103;Kartverket;Utgått;29.11.2017;1;Fredrikstad;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0103/be44dd3b-a92f-474e-88f5-42fe011ad2c2;
0104;0104;Kartverket;Utgått;29.11.2017;1;Moss;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0104/6e5333eb-182c-4d25-ad51-5f4a9ef45f09;
0105;0105;Kartverket;Utgått;29.11.2017;1;Sarpsborg;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0105/199e2fb2-6e4e-4085-8f65-09bce2401874;
0106;0106;Kartverket;Utgått;29.11.2017;1;Fredrikstad;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0106/9bb13dde-0c20-464e-a138-95f66725b313;
0111;0111;Kartverket;Utgått;29.11.2017;1;Hvaler;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0111/11822356-0ada-403f-ae84-0e12724382d3;
0113;0113;Kartverket;Utgått;29.11.2017;1;Borge;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0113/a712b574-f5d2-4572-ad44-e578b651c17f;
0114;0114;Kartverket;Utgått;29.11.2017;1;Varteig;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0114/f9fcadc2-eabc-4966-927d-45d8b0aa49bd;
0115;0115;Kartverket;Utgått;29.11.2017;1;Skjeberg;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0115/195593fc-160a-458d-b57f-62ed2c02b834;
0118;0118;Kartverket;Utgått;29.11.2017;1;Aremark;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0118/d2bfc33f-fc43-49b4-b6f5-2bfbbe7dc61c;
0119;0119;Kartverket;Utgått;29.11.2017;1;Marker;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0119/b8ae33ac-319d-4148-8212-4c8d399dd59d;
0121;0121;Kartverket;Utgått;29.11.2017;1;Rømskog;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0121/d30becbc-b3db-4084-821c-43da1f0dcfae;
0122;0122;Kartverket;Utgått;29.11.2017;1;Trøgstad;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0122/da16c6fd-ea74-493c-acaa-6d1d3e241caf;
0123;0123;Kartverket;Utgått;29.11.2017;1;Spydeberg;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0123/69fc7479-75f8-42f6-8860-b11c352e9548;
0124;0124;Kartverket;Utgått;29.11.2017;1;Askim;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0124/c4d4434d-31fd-4e50-b97a-b65a3cee34ca;
0125;0125;Kartverket;Utgått;29.11.2017;1;Eidsberg;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0125/a1d50feb-6cc6-4777-8a31-a2240a8ed1d5;
0127;0127;Kartverket;Utgått;29.11.2017;1;Skiptvet;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0127/bf1dcf61-5af5-4ab1-81d5-b9d818eac051;
0128;0128;Kartverket;Utgått;29.11.2017;1;Rakkestad;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0128/877b8971-0cea-424d-976d-a4828fee3e44;
0130;0130;Kartverket;Utgått;29.11.2017;1;Tune;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0130/d48dda04-bd96-42b7-b7d4-a1dd6fac649b;
0131;0131;Kartverket;Utgått;29.11.2017;1;Rolvsøy;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0131/6d087cce-4ddd-45e7-8cd7-f72514e52c69;
0133;0133;Kartverket;Utgått;29.11.2017;1;Kråkerøy;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0133/a1f7d0fe-a2ef-4214-b8b0-14ffe7cd0a23;
0134;0134;Kartverket;Utgått;29.11.2017;1;Onsøy;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0134/227b567f-2abc-49f6-9d58-12c836285a0e;
0135;0135;Kartverket;Utgått;29.11.2017;1;Råde;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0135/e3df8087-a4d1-4ec6-b7f0-a9584ed62e62;
0136;0136;Kartverket;Utgått;29.11.2017;1;Rygge;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0136/0413722e-ec4a-4822-a268-c4487fd36d49;
0137;0137;Kartverket;Utgått;29.11.2017;1;Våler i Østfold;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0137/b0a736e2-0259-4161-9b15-2f8a26b4a324;
0138;0138;Kartverket;Utgått;29.11.2017;1;Hobøl;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0138/32702269-d2bb-4e0b-ab40-631c982b1da1;
0211;0211;Kartverket;Utgått;29.11.2017;1;Vestby;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0211/4cfe6eda-bfd9-4eb5-9fae-28735e7d19e0;
0213;0213;Kartverket;Utgått;29.11.2017;1;Ski;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0213/07388dbf-bdf9-44f3-b681-168a58a8e652;
0214;0214;Kartverket;Utgått;29.11.2017;1;Ås;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0214/6e689272-1443-417d-8e2e-61b392a82eed;
0215;0215;Kartverket;Utgått;29.11.2017;1;Frogn;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0215/3f10a802-7f43-4e30-a642-747a46706aa9;
0216;0216;Kartverket;Utgått;29.11.2017;1;Nesodden;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0216/1596f378-bb8c-4dd4-b82a-aa1fae7c71e1;
0217;0217;Kartverket;Utgått;29.11.2017;1;Oppegård;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0217/561c1f04-718f-422a-8e0c-7c8a0e3615e5;
0219;0219;Kartverket;Utgått;29.11.2017;1;Bærum;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0219/cf858531-b9d7-4ddc-b2f3-ae730cc47984;
0220;0220;Kartverket;Utgått;29.11.2017;1;Asker;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0220/3f1d94f3-5585-4f37-b8ed-1103fc58235c;
0221;0221;Kartverket;Utgått;29.11.2017;1;Aurskog-Høland;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0221/009ea828-daea-4ec7-b02d-f75e75baa236;
0226;0226;Kartverket;Utgått;29.11.2017;1;Sørum;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0226/8e584295-4407-41cf-ba49-e9234c353a18;
0227;0227;Kartverket;Utgått;29.11.2017;1;Fet;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0227/6c2cfee8-dd43-42bf-87ea-82d3b2bc1060;
0228;0228;Kartverket;Utgått;29.11.2017;1;Rælingen;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0228/08bbbee8-8a7f-42d6-a8d9-7930975f3544;
0229;0229;Kartverket;Utgått;29.11.2017;1;Enebakk;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0229/98716d05-0730-4819-bc75-d011ae4ff1df;
0230;0230;Kartverket;Utgått;29.11.2017;1;Lørenskog;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0230/e48a03dc-ed41-4494-97d8-11b3f75b4692;
0231;0231;Kartverket;Utgått;29.11.2017;1;Skedsmo;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0231/dd8c2c00-2604-45d9-9d0c-93846ad3f02a;
0233;0233;Kartverket;Utgått;29.11.2017;1;Nittedal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0233/c2440ed2-13d7-448c-bf17-d5ea47ecbb70;
0234;0234;Kartverket;Utgått;29.11.2017;1;Gjerdrum;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0234/05ae391e-171d-429e-b9db-7ba7c40a2698;
0235;0235;Kartverket;Utgått;29.11.2017;1;Ullensaker;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0235/1ed40d24-1cc9-460b-b241-85a79a41b27f;
0236;0236;Kartverket;Utgått;29.11.2017;1;Nes i Akershus;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0236/ebf9b911-d3dc-4202-8ea1-d920375eee44;
0237;0237;Kartverket;Utgått;29.11.2017;1;Eidsvoll;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0237/3f4f8527-1dc0-4327-a289-85cd3a48affa;
0238;0238;Kartverket;Utgått;29.11.2017;1;Nannestad;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0238/3aa05530-bc17-4d3f-8f7f-b1bc9ef29bc7;
0239;0239;Kartverket;Utgått;29.11.2017;1;Hurdal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0239/2571fea7-f03d-4403-a5cc-adbf9073dbba;
0301;0301;Kartverket;Gyldig;29.11.2017;1;Oslo;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0301/ecf22d40-4e4b-4fa1-a42b-07947a12b34a;
0401;0401;Kartverket;Utgått;29.11.2017;1;Hamar;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0401/c27b0e3d-1e9f-4606-9f4e-c1981def6704;
0402;0402;Kartverket;Utgått;29.11.2017;1;Kongsvinger;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0402/7459987a-6d57-42c3-a566-6be37dea2804;
0403;0403;Kartverket;Utgått;29.11.2017;1;Hamar;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0403/a790db62-425b-4538-99b5-daa4f0f7661a;
0412;0412;Kartverket;Utgått;29.11.2017;1;Ringsaker;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0412/d1805333-a7fa-4011-a0a3-c8250ac4353c;
